start	end	text
0	4000	Welcome back Aliens. My name is Devan Reddy and in this video we will talk about the Python
4000	8400	installation. The thing is we have talked about the language which is very powerful
8400	12160	but then where you will write your code. Of course we can simply open your
13040	18320	notepad and we can write the code which we want. So example I can simply go back here
18320	22000	and I can say okay what type of code I want to write. So it can be anything. It can be let's say
22000	28880	2 plus 3. Now when you say you want to write a code it can be a calculation, a computation. So
28880	35280	basically a normal calculation like adding two numbers or deciding in which stock to invest
35280	41040	or maybe deciding who should be the next CEO. So basically the idea is if you want to write a code
41040	46080	to design a software which can do some activities we have to write a code but where.
46080	50400	If you write the code in the notepad of course you are not getting the output. Where do you
50400	55520	will get the output for this? This is tricky right and that's why in your machine you need
55520	60320	a python interpreter. So basically we have to install some software and in this machine I
60320	65200	don't have it. How do I verify? It's very simple. You can open your command prompt. So if you're
65200	69920	using Windows you can use command prompt to check it or if you're using Mac or Linux
70640	75840	you can open the terminal. So I'm here on command prompt and here let me see if I have Python.
75840	82240	Now basically the way you can check that is by saying Python version and if you get this type
82240	87680	of error which says Python was not found that means in this machine I don't have Python. Okay
87680	94160	with Python 3 you might also check if you do you have Python 3 installed and you can see
94160	98240	nothing is there. So even if you have Python installed sometime it will not work with the
98240	103200	Python command it might work for the Python 3 command. So do check both the versions and in
103200	108240	this machine I don't have any. So how do you get it? So the first thing we need is Python interpreter
108240	113680	and okay let's say we got python interpreter and then you can write a code there. The thing is
113680	119920	in the interpreter it provides you an option of writing a code one line at a time. So of course
119920	126960	you can add two numbers but what if you want to build a big project. Now it can be a scientific
126960	132640	project or a AI project. Now that's what is booming nowadays. So if you want to build an AI project
132640	138480	or a web application or a desktop application where you will do it for that you need a software
138480	144960	where you can write the code test your code run your code debug your code and also deploy your
144960	150080	code to the cloud where you will do it. Now that's why we have to use something called an IDE which
150080	155680	stands for integrated development environment. Now for Python we have a lot of options. Now one
155680	160640	is very famous which is your pie charm. Now this is from JetBrains again in this video I will show
160640	167280	you how to install Python interpreter and the pie charm. So let's start with the interpreter.
167280	172800	So what you will do is in fact in the updated version of Windows when you say Python enter
172800	178000	it will open the Microsoft store but let's say if you don't have this configured that's fine.
178720	183680	What you can do is you can just go to Google and search for Python download. So you can say this
183680	188480	is the option you will get. So of course the first website says Python you can download it from here.
188480	192320	Now in the upcoming videos you might see a different version of Python install and that's
192320	196960	completely fine because in the version difference you will not find a lot of changes. So even those
196960	203120	things those code will work here. Okay. So you can go for Python 3.12 which is the latest version I
203120	209200	feel. So if I click on download so you can see we got download Python 3.12 so you can download
